,date,exercise_date,close,contract_type,exercise_price,maturity
3330,2015-02-16,2015-06-24,0.1166,call,2.45,0.3506849315068493
173,2015-02-16,2015-03-25,0.0203,put,2.25,0.10136986301369863
257,2015-02-16,2015-03-25,0.0687,put,2.4,0.10136986301369863
61,2015-02-16,2015-03-25,0.131,call,2.3,0.10136986301369863
935,2015-02-16,2015-06-24,0.1952,call,2.3,0.3506849315068493
3904,2015-02-16,2015-04-22,0.1456,put,2.5,0.1780821917808219
1475,2015-02-16,2015-06-24,0.1007,put,2.35,0.3506849315068493
2573,2015-02-16,2015-09-23,0.0998,put,2.25,0.6
117,2015-02-16,2015-03-25,0.0663,call,2.4,0.10136986301369863
1565,2015-02-16,2015-06-24,0.1237,put,2.4,0.3506849315068493
4272,2015-02-16,2015-09-23,0.2196,put,2.5,0.6
614,2015-02-16,2015-04-22,0.0477,put,2.3,0.1780821917808219
4035,2015-02-16,2015-06-24,0.1837,put,2.5,0.3506849315068493
3331,2015-02-17,2015-06-24,0.1234,call,2.45,0.34794520547945207
6,2015-02-17,2015-03-25,0.2296,call,2.2,0.09863013698630137
3836,2015-02-17,2015-03-25,0.1203,put,2.5,0.09863013698630137
3811,2015-02-17,2015-03-25,0.0343,call,2.5,0.09863013698630137
756,2015-02-17,2015-06-24,0.2778,call,2.2,0.34794520547945207
1116,2015-02-17,2015-06-24,0.1485,call,2.4,0.34794520547945207
3285,2015-02-17,2015-04-22,0.1114,put,2.45,0.17534246575342466
709,2015-02-17,2015-04-22,0.0859,put,2.4,0.17534246575342466
427,2015-02-17,2015-04-22,0.1306,call,2.35,0.17534246575342466
3905,2015-02-17,2015-04-22,0.1421,put,2.5,0.17534246575342466
3212,2015-02-17,2015-03-25,0.0882,put,2.45,0.09863013698630137
2115,2015-02-17,2015-09-23,0.2251,call,2.35,0.5972602739726027
1809,2015-02-17,2015-09-23,0.2906,call,2.25,0.5972602739726027
1656,2015-02-17,2015-09-23,0.3266,call,2.2,0.5972602739726027
2574,2015-02-17,2015-09-23,0.0936,put,2.25,0.5972602739726027
2421,2015-02-17,2015-09-23,0.0782,put,2.2,0.5972602739726027
2880,2015-02-17,2015-09-23,0.1301,put,2.35,0.5972602739726027
568,2015-02-17,2015-04-22,0.0304,put,2.25,0.17534246575342466
